,KITCHEN ,,,,,,
,DATE,"June 1, 2026",,,,,
,PREPARED BY,,,,,,
,KITCHEN  REPRESENTATIVE,,,,,,
,FROZEN /RAW ,,,,,,
,, BEG,UM,IN,OUT,SPOILD,REMARKS
,COCKTAIL STICKS,5,,,5,,
,,,,,,,
,FRUITS,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,LEMON FOR BAR,,,,,,
,LIME,30,,,30,,
,FRESH ORANGE,8,,,8,,
,STRAWBERRY ,2,,TABS,2TABS,,
,,,,,,,
,SYRUP,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,LOCAL HIBISCUS PASSION 1L,3.5,,,#REF!,,
,LOCAL LYCHEE PANDAL 1L,2,,,#REF!,,
,LOCAL PASSION FRUIT 1L,3.1,,,#REF!,,
,LOCAL PEACH ROSEMARY 1L,1.5,,,#REF!,,
,LOCAL HIBISCUS 1L,1.7,,,#REF!,,
,LOCAL ROSE SYRUP 1L,1,,,#REF!,,
,VANILLA SYRUP 1L,0.7,,,0.7,,
,LYCHEE SYRUP 1L,-,,,,,
,EASY SALTED CARAMEL SYRUP 2.5L,0.4,,,0.4,,
,EASY STRAWBERRY SYRUP 2.5L,1.5,,,1.5,,
,,,,,,,
,IN HOUSE,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,INHOUSE BLUE PEA LIQUEUR ,0.3,,,,,
,INHOUSE GATORADE SPRITZ,3.1,,,,,
,INHOUSE MANGO PUREE,0.6,,,,,
,INHOUSE MELON JUICE,-,,,,,
,IN HOUSE MUSCOVADO,-,,,,,
,IN HOUSE SUPER LEMON JUICE,1.5,,,,,
,IN HOUSE SUPER LIME JUICE,2.5,,,,,
,SYRUP SUGAR 1.25 L,4,,LITERS,4 LITERS,,
,IN HOUSE AQUAFAVA,-,,,,,
,IN HOUSE ICE TEA,-,,,,,
,IN HOUSE ICE TEA MIX,0.6,,,,,
,IN HOUSE UBE LIQ.,-,,,,,
,IN HOUSE CALAMNSI,,,,,,
,,,,,,,
,IN HOUSE,BAR,OUTSIDE BAR,"UM (ML , L)",TOTAL COUNT ,REMARKS,
,PREMIX ERAS BLUE,0.4,,,,,
,PREMIX ERAS GREEN,0.2,,,,,
,PREMIX ERAS ORANGE,0.2,,,,,
,PREMIX ERA PINK,0.5,,,,,
,PREMIX ERAS PURPLE,0.2,,,,,
,PREMIX ERAS RED,0.4,,,,,
,PREMIX LAST RIDE AMBER,0.4,,,,,
,PREMIX LAST RIDE BLUE,0.1,,,,,
,PREMIX LAST RIDE BROWN,0.3,,,,,
,PREMIX LAST RIDE GREEN,0.7,,,,,
,PREMIX LAST RIDE KAHEL,1,,,,,
,PREMIX LAST RIDE ORANGE,0.4,,,,,
,PREMIX LAST RIDE PINK,0.5,,,,,
,PREMIX LAST RIDE PURPLE,0.8,,,,,
,PREMIX LAST RIDE RED,0.3,,,,,
,PREMIX LAST RIDE WHITE PINK,0.8,,,,,
,PREMIX LAST RIDE YELLOW,0.1,,,,,
